City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Augusta,AU,65.71,scattered clouds,-32.4888567,137.7631795,Majestic Oasis Apartments
1,Karratha,AU,82.47,few clouds,-20.7329691,116.846549,ibis Styles Karratha
2,Faya,SA,61.56,broken clouds,18.3690835,42.470002,املاك خالد الشعشوع
3,Kahului,US,74.23,few clouds,20.8908978,-156.470059,Maui Seaside Hotel
4,Bengkulu,ID,75.7,moderate rain,-3.8036144,102.2599261,Grage Hotel Bengkulu
5,Hamilton,US,76.75,clear sky,39.1859379,-84.54431029999999,Six Acres Bed & Breakfast
6,Jamestown,US,57.85,overcast clouds,42.1184574,-79.2427728,Hampton Inn & Suites Jamestown
8,Rikitea,PF,79.86,few clouds,-23.1206197,-134.9687529,People ThankYou
9,Bredasdorp,ZA,71.28,clear sky,-34.5329706,20.0358936,Bredasdorp Country Manor
10,Kapaa,US,77.11,clear sky,22.0567556,-159.3225167,Sheraton Kauai Coconut Beach Resort
11,Mataura,NZ,68.49,broken clouds,-46.2019435,168.8550432,Ellie's Villa
12,Ushuaia,AR,45.16,light rain,-54.8069669,-68.30489070000002,Albatross Hotel
13,Prince Rupert,CA,44.46,overcast clouds,54.3157443,-130.3243567,Crest Hotel
14,Victoria,HK,67.17,overcast clouds,22.280489,114.15634,Mini Hotel Central
15,Cape Town,ZA,73.11,clear sky,-33.8996146,18.4120393,"Radisson Blu Hotel Waterfront, Cape Town"
16,East London,ZA,71.51,few clouds,-32.9851587,27.92356980000001,Tu Casa
17,Aklavik,CA,35.2,clear sky,68.2190305,-135.0189716,Aklavik Inn
18,Floro,NO,36.23,broken clouds,61.59498019999999,5.014506,Kinn Hotell Florø
19,Massaguet,TD,85.93,scattered clouds,12.4811566,15.4383978,Alwatane
20,Madingou,CG,74.91,light rain,-4.164674400000001,13.5534482,HOTEL KIM ELISA
21,Puerto Ayora,EC,80.55,overcast clouds,-0.7530105999999999,-90.3118438,Finch Bay Galapagos Hotel
22,Port Lincoln,AU,62.29,scattered clouds,-34.7178306,135.8544911,Port Lincoln Hotel
23,Butaritari,KI,82.0,scattered clouds,3.071017,172.7899308,Isles Sunset Lodge
24,Ilebo,CD,72.52,overcast clouds,-4.3296853,20.5844841,Hôtel BUMAK
