City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Augusta,AU,-32.5,137.7667,65.71,72,47,18.61,scattered clouds
1,Karratha,AU,-20.7377,116.8463,82.47,74,13,11.12,few clouds
2,Faya,SA,18.3851,42.4509,61.56,62,73,4.12,broken clouds
3,Kahului,US,20.8947,-156.47,74.23,62,13,5.19,few clouds
4,Bengkulu,ID,-3.8004,102.2655,75.7,89,99,3.67,moderate rain
5,Hamilton,US,39.1834,-84.5333,76.75,31,0,25.32,clear sky
6,Jamestown,US,42.097,-79.2353,57.85,26,100,8.01,overcast clouds
7,Longyearbyen,SJ,78.2186,15.6401,19.24,86,40,2.3,scattered clouds
8,Rikitea,PF,-23.1203,-134.9692,79.86,75,12,21.21,few clouds
9,Bredasdorp,ZA,-34.5322,20.0403,71.28,86,1,7.52,clear sky
10,Kapaa,US,22.0752,-159.319,77.11,59,1,5.01,clear sky
11,Mataura,NZ,-46.1927,168.8643,68.49,53,71,3.89,broken clouds
12,Ushuaia,AR,-54.8,-68.3,45.16,80,100,4.27,light rain
13,Prince Rupert,CA,54.3161,-130.3201,44.46,78,100,3.53,overcast clouds
14,Victoria,HK,22.2855,114.1577,67.17,82,91,18.99,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,73.11,61,0,12.66,clear sky
16,East London,ZA,-33.0153,27.9116,71.51,80,16,13.24,few clouds
17,Aklavik,CA,68.2191,-135.0107,35.2,54,2,18.32,clear sky
18,Floro,NO,61.5996,5.0328,36.23,93,75,6.91,broken clouds
19,Massaguet,TD,12.4755,15.4365,85.93,15,46,9.42,scattered clouds
20,Madingou,CG,-4.1536,13.55,74.91,93,83,1.97,light rain
21,Puerto Ayora,EC,-0.7393,-90.3518,80.55,83,92,5.99,overcast clouds
22,Port Lincoln,AU,-34.7333,135.8667,62.29,74,49,18.41,scattered clouds
23,Butaritari,KI,3.0707,172.7902,82.0,80,39,21.16,scattered clouds
24,Ilebo,CD,-4.3167,20.5833,72.52,96,100,2.37,overcast clouds
25,Tiksi,RU,71.6872,128.8694,-18.06,99,51,6.46,broken clouds
26,Saint-Joseph,RE,-21.3667,55.6167,79.18,84,30,11.07,light rain
27,Saskylakh,RU,71.9167,114.0833,-15.23,98,100,1.03,light snow
28,Erenhot,CN,43.6475,111.9767,14.9,76,95,7.09,overcast clouds
29,Whitianga,NZ,-36.8333,175.7,73.02,65,90,11.07,overcast clouds
